ACCIDENTDATE,snowing,raining,foggy,smoke,dust,strong_winds,wind_dir,wind_speed,temperature,SURFACE_COND
2006-06-24,0,0,0,0,0,0,W,9.0,54.0,1
2006-07-02,0,1,0,0,0,0,S,6.0,52.0,2
2006-05-19,0,0,0,0,0,0,WSW,7.0,63.0,1
2006-06-16,0,0,0,0,0,0,S,8.0,50.0,1
2006-06-07,0,0,0,0,0,0,N,6.0,56.0,1
2006-06-17,0,0,0,0,0,0,S,9.0,42.0,1
2006-06-03,0,0,0,0,0,0,S,21.0,44.0,1
2006-06-10,0,0,0,0,0,0,NE,2.0,44.0,1
2006-06-18,0,0,0,0,0,0,N,5.0,50.0,1
2006-06-28,0,0,0,0,0,0,N,15.0,55.0,1
2006-06-15,0,0,0,0,0,0,SSW,14.0,52.0,2
2006-05-20,0,0,0,0,0,0,S,5.0,44.0,1
2006-06-04,0,0,0,0,0,0,NNW,3.0,55.0,1
2006-06-14,0,0,0,0,0,0,WSW,6.0,57.0,1
2006-05-18,0,0,0,0,0,0,NW,3.0,63.0,1
2006-06-19,0,0,0,0,0,0,NNE,3.0,52.0,1
2006-05-22,0,1,0,0,0,0,SSW,14.0,48.0,2
2006-05-23,0,0,0,0,0,0,WSW,6.0,52.0,1
2006-06-23,0,0,0,0,0,0,N,5.0,49.0,1
2006-06-30,0,0,0,0,0,0,N,14.0,54.0,1
2006-06-06,0,0,0,0,0,0,S,10.0,46.0,1
2006-06-29,0,0,0,0,0,0,N,8.0,53.0,1
2006-05-27,0,0,0,0,0,0,S,2.0,47.0,1
2006-07-03,0,0,0,0,0,0,WSW,8.0,53.0,1
2006-06-13,0,0,0,0,0,0,SW,6.0,40.0,1
2006-06-21,0,0,0,0,0,0,ESE,8.0,52.0,1
2006-07-31,0,1,0,0,0,0,W,6.0,48.0,2
2006-07-24,0,0,0,0,0,0,S,9.0,54.0,1
2006-08-16,0,0,0,0,0,0,N,36.0,53.0,1
2006-07-22,0,0,0,0,0,0,NE,8.0,52.0,1
2006-07-29,0,0,0,0,0,0,NW,16.0,49.0,1
2006-07-23,0,1,0,0,0,0,N,10.0,48.0,2
2006-08-10,0,0,0,0,0,0,S,13.0,48.0,1
2006-08-15,0,0,0,0,0,0,W,8.0,61.0,1
2006-07-20,0,0,0,0,0,0,N,9.0,39.0,1
2006-07-13,0,0,0,0,0,0,NW,6.0,45.0,2
2006-07-18,0,0,0,0,0,0,S,15.0,54.0,1
2006-07-10,0,0,0,0,0,0,N,24.0,55.0,1
2006-07-27,0,0,0,0,0,0,NNE,6.0,56.0,1
2006-08-14,0,0,0,0,0,0,SSW,8.0,59.0,1
2006-08-08,0,0,0,0,0,0,NNE,17.0,45.0,1
2006-08-09,0,0,0,0,0,0,SW,21.0,49.0,1
2006-07-05,0,0,0,0,0,0,NNE,5.0,46.0,1
2006-07-14,0,0,0,0,0,0,SE,1.0,49.0,1
2006-07-07,0,0,0,0,0,0,WNW,8.0,54.0,9
2006-08-17,0,0,0,0,0,0,WNW,14.0,52.0,2
2006-08-03,0,0,0,0,0,0,NW,8.0,52.0,2
2006-08-20,0,0,0,0,0,0,NNE,8.0,58.0,1
2006-08-04,0,0,0,0,0,0,N,6.0,47.0,2
2006-07-17,0,0,0,0,0,0,SSW,13.0,56.0,2
2006-08-21,0,0,0,0,0,0,N,22.0,66.0,1
2006-08-11,0,0,0,0,0,0,SSW,9.0,32.0,1
2006-07-06,0,0,0,0,0,0,WNW,8.0,50.0,2
2006-07-28,0,0,0,0,0,0,NNE,7.0,56.0,1
2006-07-21,0,0,0,0,0,0,ENE,7.0,52.0,1
2006-08-06,0,0,0,0,0,0,SSE,3.0,50.0,1
2006-08-13,0,0,0,0,0,0,NE,7.0,48.0,1
2006-08-01,0,1,0,0,0,0,W,6.0,45.0,2
2006-07-25,0,1,0,0,0,0,ESE,6.0,50.0,2
2006-07-12,0,1,0,0,0,0,WNW,15.0,50.0,2
2006-08-02,0,0,0,0,0,0,N,20.0,45.0,1
2006-08-12,0,0,0,0,0,0,SSE,1.0,58.0,1
2006-07-19,0,0,0,0,0,0,SW,9.0,51.0,1
2006-07-15,0,1,0,0,0,0,SSE,20.0,45.0,2
2006-08-05,0,0,0,0,0,0,SE,1.0,41.0,1
2006-07-16,0,0,0,0,0,0,S,7.0,54.0,1
2006-07-30,0,0,0,0,0,0,NNW,6.0,46.0,1
2006-08-07,0,0,0,0,0,0,N,15.0,56.0,1
2006-08-19,0,0,0,0,0,0,NW,8.0,57.0,1
2006-08-22,0,1,0,0,0,0,N,10.0,46.0,2
2006-07-26,0,0,0,0,0,0,NW,5.0,54.0,1
2006-08-18,0,0,0,0,0,0,N,6.0,49.0,1
2006-07-08,0,0,0,0,0,0,N,7.0,53.0,1
2006-07-09,0,1,0,0,0,0,N,9.0,43.0,2
2006-07-11,0,0,0,0,0,0,NW,13.0,51.0,1
2006-08-23,0,0,0,0,0,0,NNW,15.0,50.0,1
2006-08-30,0,0,0,0,0,0,N,8.0,55.0,1
2006-09-29,0,0,0,0,0,0,SSW,16.0,50.0,1
2006-09-25,0,0,0,0,0,0,W,16.0,48.0,1
2006-09-27,0,0,0,0,0,0,SW,28.0,64.0,1
2006-10-11,0,0,0,0,0,0,N,31.0,71.0,1
2006-08-24,0,0,0,0,0,0,S,10.0,48.0,2
2006-09-12,0,0,0,0,0,0,W,6.0,64.0,1
2006-10-09,0,0,0,0,0,0,SSW,6.0,32.0,1
2006-10-07,0,0,0,0,0,0,N,22.0,71.0,1
2006-09-07,0,0,0,0,0,0,S,21.0,44.0,1
2006-08-25,0,0,0,0,0,0,S,8.0,53.0,1
2006-09-23,0,0,0,0,0,0,NNE,8.0,60.0,1
2006-09-22,0,0,0,0,0,0,NW,17.0,67.0,1
2006-09-17,0,0,0,0,0,0,N,9.0,70.0,1
2006-09-03,0,1,0,0,0,0,WSW,8.0,55.0,2
2006-08-31,0,0,0,0,0,0,N,10.0,68.0,1
2006-09-16,0,0,0,0,0,0,SSE,5.0,59.0,1
2006-09-21,0,0,0,0,0,0,N,12.0,63.0,1
2006-10-10,0,0,0,0,0,0,NE,2.0,39.0,1
2006-09-05,0,0,0,0,0,0,N,2.0,49.0,1
2006-09-14,0,0,0,0,0,0,E,3.0,49.0,1
2006-09-26,0,0,0,0,0,0,N,14.0,63.0,1
2006-09-20,0,0,0,0,0,0,NW,10.0,59.0,1
2006-09-30,0,0,0,0,0,0,S,9.0,57.0,1
2006-09-13,0,0,0,0,0,0,N,10.0,58.0,1
2006-10-06,0,0,0,0,0,0,WSW,12.0,70.0,1
2006-09-06,0,1,0,0,0,0,S,8.0,50.0,2
2006-09-08,0,0,0,0,0,0,SW,12.0,51.0,1
2006-09-11,0,0,0,0,0,0,N,5.0,48.0,1
2006-09-10,0,0,0,0,0,0,SE,22.0,48.0,1
2006-10-08,0,1,0,0,0,0,SSW,12.0,52.0,2
2006-09-15,0,0,0,0,0,0,SSE,7.0,55.0,1
2006-09-18,0,0,0,0,0,0,NNE,16.0,58.0,1
2006-09-04,0,0,0,0,0,0,W,5.0,48.0,1
2006-09-09,0,0,0,0,0,0,S,20.0,46.0,1
2006-09-19,0,1,0,0,0,0,WSW,20.0,56.0,2
2006-10-01,0,0,0,0,0,0,N,31.0,73.0,1
2006-10-02,0,0,0,0,0,0,S,12.0,52.0,1
2006-10-03,0,0,0,0,0,0,S,6.0,66.0,1
2006-09-28,0,0,0,0,0,0,E,2.0,59.0,1
2006-10-05,0,0,0,0,0,0,SW,15.0,55.0,1
2006-08-28,0,0,0,0,0,0,WSW,8.0,54.0,1
2006-09-02,0,0,0,0,0,0,SW,3.0,59.0,1
2006-10-04,0,0,0,0,0,1,N,32.0,73.0,1
2006-08-26,0,0,0,0,1,0,N,10.0,58.0,1
2006-09-24,0,1,0,0,0,0,N,21.0,54.0,2
2006-08-29,0,0,0,0,0,0,SW,8.0,57.0,1
2006-09-01,0,0,0,0,0,0,NW,17.0,70.0,1
2006-08-27,0,0,0,0,0,0,W,8.0,57.0,1
2006-10-26,0,0,0,0,0,0,S,14.0,56.0,1
2006-10-21,0,1,0,0,0,0,WSW,14.0,46.0,2
2006-11-07,0,0,0,0,0,0,S,17.0,57.0,1
2006-10-14,0,0,0,0,0,0,SSE,5.0,51.0,1
2006-10-31,0,0,0,0,0,0,S,9.0,44.0,1
2006-10-23,0,0,0,0,0,0,S,10.0,66.0,1
2006-11-16,0,0,0,0,0,0,S,17.0,54.0,1
2006-11-25,0,0,0,0,0,0,WSW,7.0,78.0,1
2006-11-22,0,0,0,0,0,0,SW,16.0,73.0,1
2006-11-20,0,0,0,0,0,0,SSE,5.0,56.0,1
2006-11-08,0,0,0,0,0,0,SSE,14.0,55.0,1
2006-11-05,0,0,0,0,0,0,S,8.0,55.0,1
2006-10-27,0,0,0,0,0,0,WSW,24.0,55.0,1
2006-11-09,0,0,0,0,0,0,NW,7.0,64.0,1
2006-11-15,0,1,0,0,0,0,W,8.0,38.0,2
2006-11-23,0,0,0,0,0,0,SSE,15.0,70.0,1
2006-11-21,0,0,0,0,0,0,N,21.0,95.0,1
2006-11-01,0,0,0,0,0,0,NNE,6.0,53.0,1
2006-10-29,0,0,0,0,0,0,SSW,10.0,54.0,1
2006-11-19,0,0,0,0,0,0,NNW,7.0,59.0,1
2006-10-17,0,0,0,0,0,0,N,14.0,70.0,1
2006-10-15,0,0,0,0,0,0,WNW,8.0,49.0,1
2006-10-16,0,0,0,0,0,0,W,7.0,56.0,1
2006-10-28,0,0,0,0,0,0,S,21.0,55.0,1
2006-11-11,0,0,0,0,0,0,CALM,,64.0,1
2006-11-03,0,0,0,0,0,0,W,10.0,57.0,1
2006-11-27,0,0,0,0,0,0,SSE,20.0,45.0,1
2006-11-02,0,1,0,0,0,0,N,9.0,61.0,2
2006-11-10,0,0,0,0,0,0,SW,9.0,69.0,1
2006-10-19,0,0,0,0,0,0,W,7.0,72.0,1
2006-10-13,0,0,0,0,0,0,WNW,16.0,84.0,1
2006-10-12,0,0,0,0,0,0,NNW,26.0,95.0,1
2006-11-24,0,0,0,0,0,0,SSE,12.0,62.0,1
2006-11-17,0,0,0,0,0,0,SE,6.0,55.0,1
2006-10-25,0,0,0,0,0,0,SW,14.0,55.0,1
2006-10-20,0,0,0,0,0,0,W,20.0,73.0,1
2006-10-24,0,0,0,0,0,0,E,1.0,64.0,1
2006-10-18,0,0,0,0,0,0,W,15.0,67.0,9
2006-11-13,0,1,0,0,0,0,SSW,22.0,50.0,2
2006-11-26,0,0,0,0,0,0,SSE,14.0,61.0,1
2006-10-22,0,0,0,0,0,0,ENE,6.0,53.0,1
2006-11-12,0,0,0,0,0,0,NW,21.0,72.0,1
2006-10-30,0,0,0,0,0,0,SE,16.0,58.0,1
2006-11-18,0,0,0,0,0,0,S,7.0,70.0,1
2006-11-14,0,0,0,0,0,0,WSW,10.0,62.0,1
2006-11-06,0,0,0,0,0,0,SSE,15.0,62.0,1
2006-11-04,0,0,0,0,0,0,S,12.0,63.0,1
2006-12-22,0,0,0,0,0,0,N,35.0,80.0,1
2006-12-11,0,0,0,0,0,0,SSW,22.0,66.0,1
2006-12-04,0,0,0,0,0,0,W,6.0,54.0,9
2006-11-29,0,0,0,0,0,0,S,17.0,59.0,1
2006-12-25,0,1,0,0,0,0,WSW,12.0,51.0,2
2006-12-30,0,0,0,0,0,0,S,17.0,84.0,1
2007-01-06,0,0,0,0,0,0,N,17.0,87.0,1
2006-12-21,0,0,0,1,0,0,N,6.0,71.0,1
2007-01-01,0,0,0,0,0,0,ENE,16.0,77.0,1
2006-12-01,0,0,0,0,0,0,W,8.0,68.0,1
2007-01-02,0,0,0,0,0,0,NNE,12.0,73.0,1
2006-11-28,0,0,0,0,0,0,SSW,12.0,72.0,1
2006-12-03,0,0,0,0,0,0,NW,5.0,52.0,1
2006-12-26,0,1,0,0,0,0,S,20.0,53.0,2
2006-12-19,0,0,0,0,0,0,SSE,13.0,58.0,1
2006-12-16,0,0,0,0,0,0,S,17.0,64.0,1
2006-12-12,0,0,0,0,0,0,SSE,17.0,64.0,9
2006-12-28,0,0,0,0,0,0,SE,15.0,58.0,1
2006-12-05,0,0,0,0,0,0,NNW,6.0,81.0,1
2006-12-07,0,0,0,0,0,0,S,17.0,43.0,1
2006-12-31,0,0,0,0,0,0,NNE,8.0,77.0,1
2006-12-14,0,0,0,0,0,0,SW,18.0,60.0,1
2006-12-09,0,0,0,0,0,0,E,12.0,63.0,1
2006-12-17,0,0,0,0,0,0,ENE,1.0,59.0,1
2006-12-29,0,0,0,0,0,0,S,14.0,67.0,1
2006-12-15,0,0,0,0,0,0,SSE,21.0,55.0,1
2007-01-10,0,0,0,0,0,0,N,17.0,95.0,1
2006-12-13,0,0,0,0,0,0,SE,6.0,67.0,1
2007-01-11,0,0,0,0,0,0,NNE,14.0,83.0,1
2006-12-08,0,0,0,0,0,0,SSE,10.0,73.0,1
2007-01-05,0,0,0,0,0,0,NNW,20.0,95.0,1
2006-12-27,0,1,0,0,0,0,SW,12.0,55.0,2
2007-01-04,0,0,0,0,0,0,NNE,18.0,92.0,1
2007-01-03,0,0,0,0,0,0,SE,5.0,79.0,1
2007-01-08,0,0,0,0,0,0,S,21.0,61.0,1
2006-12-06,0,0,0,0,0,0,NE,3.0,56.0,1
2006-12-23,0,1,0,0,0,0,SSW,16.0,54.0,2
2006-12-24,0,0,0,0,0,0,W,14.0,64.0,1
2007-01-07,0,1,0,0,0,0,WSW,16.0,58.0,2
2006-11-30,0,0,0,0,0,0,N,24.0,88.0,1
2007-01-09,0,0,0,1,0,0,W,12.0,67.0,1
2007-01-15,0,0,0,0,0,0,S,7.0,57.0,1
2006-12-18,0,0,0,0,0,0,NNE,3.0,74.0,1
2007-01-13,0,0,0,0,0,0,S,18.0,71.0,1
2006-12-20,0,0,0,1,0,0,SSE,13.0,81.0,1
2006-12-02,0,0,0,0,0,0,W,21.0,57.0,1
2007-01-14,0,0,0,0,0,0,SSE,16.0,72.0,1
2007-01-12,0,0,0,0,0,0,SSE,16.0,77.0,1
2006-12-10,0,0,0,0,0,0,N,25.0,106.0,1
2007-02-14,0,0,0,0,0,0,S,10.0,77.0,1
2007-01-29,0,0,0,0,0,0,WSW,3.0,67.0,1
2007-02-03,0,0,0,0,0,0,SSW,7.0,61.0,1
2007-01-19,0,0,0,0,0,0,ESE,3.0,83.0,1
2007-01-24,0,0,0,0,0,0,SSE,16.0,68.0,1
2007-01-25,0,0,0,0,0,0,SSE,12.0,70.0,1
2007-02-19,0,0,0,0,0,0,SSW,8.0,68.0,1
