Route_No,SPEED_ZONE,Light_Condition,ROAD_TYPE,DIRECTION_LOCATION,NODE_TYPE,Deg_Urban_Name
5057,70,1,ROAD,S,N,MELB_URBAN
205123,60,1,HIGHWAY,NE,I,MELB_URBAN
180945,60,3,HIGHWAY,N,I,MELB_URBAN
5819,70,2,ROAD,S,I,MELB_URBAN
5960,70,2,ROAD,S,I,MELB_URBAN
135013,70,2,ROAD,S,I,MELB_URBAN
5515,60,1,STREET,S,I,MELB_URBAN
5606,60,1,STREET,S,I,MELB_URBAN
5459,60,1,ROAD,SE,I,MELB_URBAN
5421,80,1,ROAD,E,I,MELB_URBAN
5447,80,1,ROAD,E,I,MELB_URBAN
5733,60,2,ROAD,S,I,MELB_URBAN
101820,60,2,ROAD,S,I,MELB_URBAN
164435,60,1,ROAD,NW,I,MELB_URBAN
193624,60,1,ROAD,NW,I,MELB_URBAN
215837,60,1,ROAD,NW,I,MELB_URBAN
236786,60,1,ROAD,NW,I,MELB_URBAN
281872,60,1,ROAD,NW,I,MELB_URBAN
2120,60,1,STREET,S,N,MELB_URBAN
5814,60,1,ROAD,S,I,TOWNS
130565,60,1,ROAD,S,I,TOWNS
2590,100,1,HIGHWAY,W,N,RURAL_VICTORIA
2550,80,5,RAMP,S,I,TOWNS
191305,50,1,STREET,SE,I,LARGE_PROVINCIAL_CITIES
209721,50,1,STREET,SE,I,LARGE_PROVINCIAL_CITIES
148660,60,1,STREET,W,I,SMALL_CITIES
219799,60,1,STREET,NE,I,MELB_URBAN
5818,60,1,ROAD,S,I,MELB_URBAN
119390,60,1,ROAD,S,I,MELB_URBAN
2860,80,1,AVENUE,E,I,MELB_URBAN
160587,80,1,AVENUE,E,I,MELB_URBAN
2600,80,1,RAMP,NE,N,RURAL_VICTORIA
128099,80,1,WAY,N,I,MELB_URBAN
161538,80,1,WAY,N,I,MELB_URBAN
5062,100,1,ROAD,NW,N,RURAL_VICTORIA
154631,60,1,ROAD,SE,I,MELB_URBAN
283239,60,1,ROAD,SE,I,MELB_URBAN
5765,80,1,HIGHWAY,N,I,MELB_URBAN
5061,50,1,STREET,S,I,MELBOURNE_CBD
184414,60,1,STREET,W,I,MELBOURNE_CBD
209783,60,1,STREET,W,I,MELBOURNE_CBD
5103,70,1,ROAD,S,I,MELB_URBAN
5285,70,1,ROAD,S,I,MELB_URBAN
216626,60,1,ROAD,N,I,MELB_URBAN
180106,60,1,STREET,W,I,MELB_URBAN
124948,50,1,STREET,N,I,MELB_URBAN
172133,50,1,STREET,N,I,MELB_URBAN
5802,60,1,STREET,S,I,MELB_URBAN
5805,70,3,ROAD,N,I,MELB_URBAN
5781,999,1,ROAD,W,I,MELB_URBAN
128596,999,1,ROAD,W,I,MELB_URBAN
152083,999,1,ROAD,W,I,MELB_URBAN
165572,60,1,ROAD,S,I,MELB_URBAN
127028,60,1,ROAD,N,I,MELB_URBAN
105864,60,1,STREET,N,I,MELB_URBAN
109579,60,2,ROAD,S,I,MELB_URBAN
2060,80,1,ROAD,W,I,MELB_URBAN
2290,80,1,ROAD,W,I,MELB_URBAN
128382,70,1,ROAD,S,I,MELB_URBAN
144639,70,1,ROAD,S,I,MELB_URBAN
5056,80,1,STREET,W,I,MELB_URBAN
165090,80,1,STREET,W,I,MELB_URBAN
177775,40,1,ROAD,N,I,MELB_URBAN
209746,40,1,ROAD,N,I,MELB_URBAN
5773,999,1,ROAD,N,I,RURAL_VICTORIA
5798,999,1,ROAD,N,I,RURAL_VICTORIA
198943,80,1,HIGHWAY,NW,I,MELB_URBAN
127912,60,1,HIGHWAY,NW,I,MELB_URBAN
127913,60,1,HIGHWAY,NW,I,MELB_URBAN
127916,60,1,HIGHWAY,NW,I,MELB_URBAN
103196,80,1,ROAD,S,I,MELB_URBAN
119150,80,1,HIGHWAY,NE,I,MELB_URBAN
200927,80,9,ROAD,N,I,RURAL_VICTORIA
200910,80,1,HIGHWAY,NW,I,MELB_URBAN
5763,60,3,ROAD,S,I,MELB_URBAN
135582,60,3,ROAD,S,I,MELB_URBAN
209166,60,3,ROAD,S,I,MELB_URBAN
113890,60,1,ROAD,S,I,MELB_URBAN
189911,60,1,ROAD,S,I,MELB_URBAN
274432,60,1,ROAD,S,I,MELB_URBAN
4971,50,1,ROAD,SE,I,RURAL_VICTORIA
111891,50,1,ROAD,SE,I,RURAL_VICTORIA
2640,80,2,ROAD,S,I,SMALL_CITIES
156035,80,2,ROAD,S,I,SMALL_CITIES
2570,100,2,HIGHWAY,SE,I,RURAL_VICTORIA
130363,100,2,HIGHWAY,SE,I,RURAL_VICTORIA
195394,100,2,HIGHWAY,SE,I,RURAL_VICTORIA
5219,100,1,ROAD,SE,I,RURAL_VICTORIA
5220,100,1,ROAD,SE,I,RURAL_VICTORIA
5185,70,1,ROAD,S,I,LARGE_PROVINCIAL_CITIES
174901,999,1,STREET,S,N,MELB_URBAN
5168,80,1,ROAD,W,I,MELB_URBAN
223502,80,1,ROAD,W,I,MELB_URBAN
224552,80,1,ROAD,W,I,MELB_URBAN
114195,50,1,STREET,W,I,MELB_URBAN
181703,50,1,ROAD,W,I,MELB_URBAN
228251,50,1,ROAD,W,I,MELB_URBAN
100429,50,1,STREET,S,I,MELB_URBAN
209796,50,1,STREET,S,I,MELB_URBAN
5754,80,1,HIGHWAY,E,I,MELB_URBAN
131235,80,1,HIGHWAY,E,I,MELB_URBAN
207679,80,1,HIGHWAY,E,I,MELB_URBAN
166810,40,1,STREET,N,I,MELB_URBAN
237155,40,1,STREET,N,I,MELB_URBAN
5795,60,1,ROAD,NE,I,MELB_URBAN
